t,phi,phidot,rho_phi,p_phi,w,H,a,z
0.0,0.1,0.0,4.9958347219744026e-15,-4.9958347219744026e-15,-1.0,4.0807820827117614e-08,0.9999999918368033,8.163196785204718e-09
0.20004000800160032,0.09999999999999801,-1.9970677220321625e-14,4.99583472197438e-15,-4.9958347219739806e-15,-0.9999999999999201,4.080782082711752e-08,0.9999999836736065,1.632639379245404e-08
0.40008001600320064,0.09999999999999203,-3.994135395156876e-14,4.995834721974423e-15,-4.995834721972828e-15,-0.9999999999996807,4.08078208271177e-08,0.99999997551041,2.448959057765876e-08
0.600120024004801,0.09999999999998203,-5.991203019374061e-14,4.995834721974421e-15,-4.9958347219708314e-15,-0.9999999999992816,4.0807820827117687e-08,0.9999999673472134,3.265278758490808e-08
0.8001600320064013,0.09999999999996805,-7.988270594683639e-14,4.995834721974485e-15,-4.995834721968103e-15,-0.9999999999987226,4.080782082711795e-08,0.9999999591840169,4.081598481420201e-08
1.0002000400080016,0.09999999999995007,-9.985338121085531e-14,4.995834721974503e-15,-4.9958347219645316e-15,-0.9999999999980042,4.0807820827118024e-08,0.9999999510208204,4.897918204349594e-08
1.200240048009602,0.0999999999999281,-1.1982405598579668e-13,4.995834721974365e-15,-4.9958347219600075e-15,-0.9999999999971262,4.080782082711746e-08,0.9999999428576241,5.714237927278987e-08
1.4002800560112023,0.09999999999990214,-1.3979473027165959e-13,4.995834721974404e-15,-4.995834721954861e-15,-0.9999999999960881,4.080782082711762e-08,0.9999999346944277,6.53055765020838e-08
1.6003200640128026,0.09999999999987218,-1.597654040684433e-13,4.995834721974397e-15,-4.995834721948873e-15,-0.9999999999948909,4.0807820827117594e-08,0.9999999265312315,7.346877395342233e-08
1.8003600720144028,0.09999999999983822,-1.7973607737614702e-13,4.995834721974457e-15,-4.9958347219421516e-15,-0.9999999999935335,4.080782082711784e-08,0.9999999183680354,8.163197140476086e-08
2.000400080016003,0.09999999999980026,-1.9970675019477e-13,4.99583472197436e-15,-4.995834721934477e-15,-0.9999999999920167,4.080782082711744e-08,0.9999999102048392,8.97951688560994e-08
2.2004400880176034,0.09999999999975832,-2.1967742252431144e-13,4.99583472197444e-15,-4.995834721926182e-15,-0.9999999999903404,4.0807820827117766e-08,0.9999999020416432,9.795836630743793e-08
2.400480096019204,0.09999999999971237,-2.396480943647706e-13,4.995834721974363e-15,-4.9958347219169325e-15,-0.9999999999885043,4.0807820827117455e-08,0.9999998938784472,1.0612156398082107e-07
2.6005201040208044,0.09999999999966244,-2.596187657161466e-13,4.995834721974463e-15,-4.9958347219070615e-15,-0.9999999999865083,4.0807820827117865e-08,0.9999998857152513,1.142847616542042e-07
2.8005601120224046,0.09999999999960851,-2.7958943657843866e-13,4.995834721974407e-15,-4.9958347218962375e-15,-0.999999999984353,4.0807820827117634e-08,0.9999998775520554,1.2244795954963195e-07
3.000600120024005,0.09999999999955059,-2.995601069516461e-13,4.9958347219744176e-15,-4.9958347218846815e-15,-0.9999999999820378,4.0807820827117673e-08,0.9999998693888598,1.3061115722301508e-07
3.200640128025605,0.09999999999948866,-3.1953077683576803e-13,4.995834721974382e-15,-4.995834721872281e-15,-0.9999999999795628,4.0807820827117534e-08,0.999999861225664,1.3877435534048743e-07
3.4006801360272054,0.09999999999942275,-3.3950144623080376e-13,4.995834721974412e-15,-4.9958347218591516e-15,-0.9999999999769287,4.0807820827117654e-08,0.9999998530624684,1.4693755323591517e-07
3.6007201440288057,0.09999999999935283,-3.594721151367525e-13,4.995834721974398e-15,-4.995834721845178e-15,-0.9999999999741345,4.0807820827117594e-08,0.9999998448992728,1.5510075113134292e-07
3.800760152030406,0.09999999999927893,-3.7944278355361343e-13,4.995834721974448e-15,-4.995834721830472e-15,-0.9999999999711807,4.08078208271178e-08,0.9999998367360773,1.6326394947085987e-07
4.000800160032006,0.09999999999920102,-3.9941345148138565e-13,4.995834721974343e-15,-4.995834721814811e-15,-0.9999999999680671,4.080782082711737e-08,0.9999998285728818,1.7142714758833222e-07
4.200840168033607,0.09999999999911913,-4.1938411892006865e-13,4.9958347219744144e-15,-4.9958347217985316e-15,-0.999999999964794,4.080782082711767e-08,0.9999998204096865,1.7959034570580457e-07
4.400880176035207,0.09999999999903324,-4.393547858696614e-13,4.9958347219744405e-15,-4.995834721781408e-15,-0.9999999999613612,4.080782082711777e-08,0.9999998122464911,1.8775354404532152e-07
4.6009201840368075,0.09999999999894335,-4.593254523301632e-13,4.9958347219743095e-15,-4.99583472176333e-15,-0.999999999957769,4.0807820827117237e-08,0.9999998040832959,1.9591674238483847e-07
4.800960192038408,0.09999999999884947,-4.792961183015735e-13,4.995834721974246e-15,-4.9958347217445214e-15,-0.9999999999540169,4.080782082711697e-08,0.9999997959201008,2.0407994094640003e-07
5.001000200040008,0.0999999999987516,-4.992667837838909e-13,4.9958347219743584e-15,-4.995834721725091e-15,-0.9999999999501049,4.0807820827117435e-08,0.9999997877569057,2.1224313928591698e-07
5.201040208041609,0.09999999999864972,-5.192374487771154e-13,4.995834721974314e-15,-4.995834721704707e-15,-0.9999999999460336,4.0807820827117257e-08,0.9999997795937107,2.2040633784747854e-07
5.4010802160432085,0.09999999999854386,-5.392081132812454e-13,4.995834721974447e-15,-4.995834721683701e-15,-0.9999999999418023,4.080782082711779e-08,0.9999997714305157,2.285695366310847e-07
5.601120224044809,0.099999999998434,-5.59178777296281e-13,4.995834721974423e-15,-4.995834721661742e-15,-0.9999999999374117,4.08078208271177e-08,0.9999997632673208,2.3673273519264626e-07
