# z,H(z)
1.336683417085427150e+00,6.612373853078985449e-19
1.346733668341708601e+00,6.584742972617118135e-19
1.356783919597990051e+00,6.557112092155250822e-19
1.366834170854271280e+00,6.529481211693383508e-19
1.376884422110552730e+00,6.501850331231516194e-19
1.386934673366834181e+00,6.474219450769647918e-19
1.396984924623115631e+00,6.446588570307780604e-19
1.407035175879397082e+00,6.418957689845912327e-19
1.417085427135678311e+00,6.391326809384045014e-19
1.427135678391959761e+00,6.363695928922177700e-19
1.437185929648241212e+00,6.336065048460310386e-19
1.447236180904522662e+00,6.308434167998442110e-19
1.457286432160804113e+00,6.280803287536574796e-19
1.467336683417085341e+00,6.253172407074707482e-19
1.477386934673366792e+00,6.225541526612840168e-19
1.487437185929648242e+00,6.197910646150971892e-19
1.497487437185929693e+00,6.170279765689104578e-19
1.507537688442211143e+00,6.142648885227236301e-19
1.517587939698492594e+00,6.115018004765368988e-19
1.527638190954773822e+00,6.087387124303501674e-19
1.537688442211055273e+00,6.059756243841634360e-19
1.547738693467336724e+00,6.032125363379767047e-19
1.557788944723618174e+00,6.004494482917898770e-19
1.567839195979899625e+00,5.976863602456031456e-19
1.577889447236180853e+00,5.949232721994164143e-19
1.587939698492462304e+00,5.921601841532295866e-19
1.597989949748743754e+00,5.893970961070428552e-19
1.608040201005025205e+00,5.866340080608561238e-19
1.618090452261306655e+00,5.838709200146692962e-19
1.628140703517587884e+00,5.811078319684826611e-19
1.638190954773869334e+00,5.783447439222958334e-19
1.648241206030150785e+00,5.755816558761091021e-19
1.658291457286432236e+00,5.728185678299222744e-19
1.668341708542713686e+00,5.700554797837355430e-19
1.678391959798994915e+00,5.672923917375488117e-19
1.688442211055276365e+00,5.645293036913620803e-19
1.698492462311557816e+00,5.617662156451752526e-19
1.708542713567839266e+00,5.590031275989885213e-19
1.718592964824120717e+00,5.562400395528017899e-19
1.728643216080401945e+00,5.534769515066150585e-19
1.738693467336683396e+00,5.507138634604282309e-19
1.748743718592964846e+00,5.479507754142414995e-19
1.758793969849246297e+00,5.451876873680546718e-19
1.768844221105527748e+00,5.424245993218679404e-19
1.778894472361808976e+00,5.396615112756812091e-19
1.788944723618090427e+00,5.368984232294944777e-19
1.798994974874371877e+00,5.341353351833077463e-19
1.809045226130653328e+00,5.313722471371209187e-19
1.819095477386934778e+00,5.286091590909341873e-19
1.829145728643216007e+00,5.258460710447474559e-19
1.839195979899497457e+00,5.230829829985606283e-19
1.849246231155778908e+00,5.203198949523738969e-19
1.859296482412060358e+00,5.175568069061871655e-19
1.869346733668341809e+00,5.147937188600003379e-19
1.879396984924623037e+00,5.120306308138137028e-19
1.889447236180904488e+00,5.092675427676268751e-19
1.899497487437185939e+00,5.065044547214401438e-19
1.909547738693467389e+00,5.037413666752533161e-19
1.919597989949748840e+00,5.009782786290665847e-19
1.929648241206030068e+00,4.982151905828798533e-19
1.939698492462311519e+00,4.954521025366931220e-19
1.949748743718592969e+00,4.926890144905062943e-19
1.959798994974874420e+00,4.899259264443195629e-19
1.969849246231155870e+00,4.871628383981328316e-19
1.979899497487437321e+00,4.843997503519460039e-19
1.989949748743718549e+00,4.816366623057592725e-19
2.000000000000000000e+00,4.788735742595725412e-19
