z,H_km_s_Mpc,H_km_s_Mpc_normalized
-0.9989623033506804,0.0009331541743104,0.0028223725540296655
-0.9989622903584052,0.000933170910118,0.0028224231723362006
-0.99896225551271,0.0009332211820339,0.0028225752223184873
-0.9989622209308292,0.0009332781136379,0.0028227474148682396
-0.9989621862548854,0.0009333401830311,0.0028229351469243515
-0.9989621510026666,0.0009334052493105,0.00282313194321614
-0.9989621145684658,0.0009334707596549,0.0028233300826052466
-0.9989620761230682,0.0009335340621196,0.0028235215441492125
-0.9989620375546794,0.0009335888132118,0.0028236871416294387
-0.9989619937429568,0.0009336396556536,0.0028238409171965064
-0.9989619475600436,0.0009336831136485,0.0028239723581260285
-0.9989619069242716,0.0009337178585296,0.002824077445796972
-0.998961869037194,0.0009337523569733,0.0028241817881053885
-0.9989618327601796,0.0009337910666594,0.002824298867531952
-0.9989617974559176,0.0009338362572892,0.002824435548904396
-0.9989617626832896,0.0009338885337442,0.0028245936617177724
-0.9989617280765964,0.0009339471532416,0.0028247709593874903
-0.9989616932547792,0.0009340103735869,0.0028249621725571286
-0.9989616577110306,0.0009340759029149,0.002825160369363104
-0.9989616207370988,0.000934141218061,0.0028253579183649628
-0.9989615812945332,0.0009342038447546,0.0028255473360046545
-0.998961541635254,0.0009342571286858,0.0028257084959813546
-0.9989614947483726,0.0009343078868558,0.0028258620166640505
-0.9989614507930078,0.000934347290737,0.0028259811957192195
-0.9989614111583482,0.0009343813478439,0.002826084203181899
-0.998961373826696,0.000934416852011,0.0028261915873522055
-0.998961337873507,0.0009344574867,0.0028263144890485516
-0.99896130274193,0.0009345049635739,0.002826458085283274
-0.9989612680235426,0.0009345594311871,0.0028266228253667576
-0.9989612333601292,0.0009346197869572,0.0028268053744821098
-0.9989611983325168,0.0009346840865319,0.002826999851836298
-0.9989611623973086,0.0009347498973109,0.002827198899905226
-0.9989611246604296,0.0009348148445807,0.002827395336246389
-0.9989610836697224,0.0009348768502305,0.002827582875507326
-0.9989610422289514,0.0009349287219514,0.0028277397641817046
-0.9989609929457404,0.0009349780983724,0.0028278891056938396
-0.9989609509928798,0.0009350143690346,0.0028279988081678017
-0.9989609123550725,0.0009350484359076,0.00282810184516855
-0.9989608755974034,0.000935085645071,0.0028282143861874188
-0.9989608399782454,0.0009351288549888,0.002828345076795057
-0.9989608050134255,0.0009351791408189,0.0028284971688615533
-0.998960770322506,0.0009352361323613,0.002828669542698064
-0.9989607355471958,0.000935298328015,0.0028288576566355196
-0.9989607002088352,0.0009353635929108,0.0028290550536527745
-0.998960663707108,0.0009354293682871,0.002829253994644425
-0.9989606252272984,0.0009354929806837,0.002829446393593283
-0.9989605866303356,0.0009355480957721,0.0028296130919986434
-0.9989605429485516,0.0009355991732541,0.002829767578456824
-0.9989604963655192,0.0009356432757349,0.002829900968666932
-0.99896045549145,0.0009356782602753,0.0028300067811996934
