Redshift (z),Waveframe H(z) [km/s/Mpc]
-0.998732524391068,0.0195750526258687
-0.9987322807832812,0.0195887570407791
-0.99873203692515,0.0195948475714326
-0.9987317932818918,0.019615779121226
-0.9987315499540196,0.0195969143947829
-0.998731305994652,0.0196138840654781
-0.9987310627075052,0.0196007514392443
-0.9987308185276408,0.0196183709310114
-0.9987305751077168,0.0196216600883092
-0.998730330975511,0.0196178750066576
-0.9987300873323736,0.019633434215711
-0.998729843872351,0.0196070333590721
-0.9987295997782406,0.0196313514655632
-0.9987293567492465,0.019617477453543
-0.9987291122343084,0.0196261709649332
-0.9987288681114947,0.0196308025556814
-0.9987286235543936,0.0196217411416259
-0.9987283791218576,0.0196354817534835
-0.9987281347173907,0.0196228851318868
-0.9987278898966604,0.0196496746935563
-0.9987276457031556,0.0196344688148153
-0.9987274005606596,0.0196501019102336
-0.998727156550292,0.0196426995178358
-0.998726911694394,0.0196331021265571
-0.998726667338408,0.0196562582988744
-0.9987264231233864,0.0196345111128669
-0.9987261776781874,0.0196572249862708
-0.9987259328670288,0.0196421833054028
-0.998725687232938,0.0196521326268511
-0.998725442277714,0.0196489824183621
-0.998725196628585,0.0196531428011731
-0.9987249513832196,0.0196704667937413
-0.9987247059256814,0.0196570416530338
-0.9987244603441636,0.0196785791729917
-0.9987242155584783,0.0196514738601568
-0.9987239696583412,0.0196669744003243
-0.9987237249239616,0.0196689963655872
-0.9987234791485186,0.0196625027485109
-0.9987232332007722,0.0196793044875942
-0.9987229872753196,0.0196620700823899
-0.9987227409957604,0.0196798541075365
-0.998722495201804,0.019664431091459
-0.998722248590543,0.0196875861397902
-0.9987220027839628,0.0196828811733997
-0.9987217560836698,0.0196864018670013
-0.9987215102065686,0.0196950707479801
-0.99872126406588,0.0196727099579586
-0.9987210177559795,0.0196991021594169
-0.9987207722234082,0.0196791594456757
-0.9987205251369043,0.0196952422462105
-0.9987202786432298,0.019692087470309
-0.9987200314997292,0.019689698890656
-0.998719784743061,0.0196984126196014
-0.9987195377085134,0.0196903357920423
-0.9987192905814232,0.0197160340074232
-0.9987190437907244,0.0196992715720626
-0.9987187962962856,0.0197190203769603
-0.998718549908568,0.0197027108073813
-0.9987183024555006,0.0197023291803336
-0.998718055855479,0.0197197712423119
-0.9987178088931375,0.0197015911687236
-0.9987175610937656,0.0197242067126585
-0.9987173137501884,0.0197057609540321
-0.998717065662054,0.0197206700853428
-0.9987168182754096,0.0197114598324781
-0.9987165700567232,0.0197234135806439
-0.9987163224652684,0.0197333476998856
-0.9987160743438002,0.0197247193735325
-0.9987158265153806,0.0197440544098662
-0.998715579101066,0.0197158119081922
-0.9987153308445068,0.0197374362323297
-0.9987150837126502,0.0197302672620794
-0.998714835225052,0.0197321566917185
-0.9987145869204292,0.019742789963494
-0.9987143383487268,0.0197293098231129
-0.9987140897223784,0.0197458346430153
-0.9987138413032078,0.0197312195259374
-0.9987135923011636,0.019757255944164
-0.9987133439999905,0.0197458786033548
-0.998713094765043,0.0197567111102555
-0.9987128465713886,0.0197566786118378
-0.9987125977247516,0.0197406690795707
-0.9987123491664772,0.0197665685713471
-0.9987121009822136,0.0197439542161646
-0.9987118513753048,0.019765109665767
-0.9987116024204464,0.0197547039736599
-0.9987113526898616,0.0197594633244665
-0.9987111035399266,0.0197618267380341
-0.9987108538451092,0.0197601567932327
-0.9987106043705772,0.0197821401025729
-0.99871035487665,0.0197666756752914
-0.9987101050748984,0.0197881930365489
-0.9987098561832256,0.0197646490132054
-0.9987096061730416,0.0197737059132771
-0.9987093572406848,0.0197831232354648
-0.998709107483451,0.0197707497248305
-0.9987088573029916,0.0197910662974838
-0.9987086073094243,0.0197723944764017
-0.9987083568019032,0.0197897493302858
-0.998708106879048,0.0197761216678523
-0.9987078561087728,0.0197951671231953
-0.9987076060860118,0.0197968361644331
-0.998707355298152,0.0197947822635835
-0.9987071051699252,0.0198090726307669
-0.998706854999082,0.0197833501537877
-0.9987066044435018,0.0198084540745088
-0.9987063547830513,0.0197931805449852
-0.9987061035985348,0.0198035758619273
-0.9987058528678352,0.0198066264591111
-0.9987056016183288,0.0197989101732668
-0.9987053506000134,0.0198118675093459
-0.9987050994771348,0.0198002442434879
-0.998704848084622,0.0198270602595862
-0.9987045971680742,0.01981146726298
-0.9987043454475958,0.019828367858149
-0.998704094832977,0.019818851354214
-0.9987038432804592,0.0198113294149051
-0.9987035924145166,0.0198336267799291
-0.998703341423652,0.0198125452976802
-0.998703089357296,0.0198354384696083
-0.9987028378356532,0.0198194402176903
-0.9987025855312504,0.0198307297186511
-0.9987023339024524,0.0198262961151383
-0.9987020815344406,0.0198323844310755
-0.9987018296534472,0.0198481802565577
-0.9987015774120678,0.0198359479766779
-0.9987013252834088,0.0198572631010328
-0.9987010737424372,0.0198295084276932
-0.9987008212337374,0.0198468756280425
-0.9987005698582188,0.0198468259103623
-0.9987003172792608,0.0198423273432699
-0.9987000646722038,0.0198578646146076
-0.9986998119508436,0.0198413911710752
-0.9986995590159048,0.0198591584624472
