Test,Waveframe,ΛCDM,Δ (Waveframe - ΛCDM)
Best-fit σ₈ (fσ₈-only),0.8025125628140704,0.8045226130653266,-0.0020100502512562235
Best-fit σ₈ (fσ₈ + H(z)),0.8025125628140704,0.8045226130653266,-0.0020100502512562235
Best-fit σ₈ (fσ₈ + H(z) + μ(z)),0.8025125628140704,0.8045226130653266,-0.0020100502512562235
χ² (fσ₈-only),31.82634427335379,29.59482838605627,2.231515887297519
χ² (fσ₈ + H(z)),31.82634427335379,29.59482838605627,2.231515887297519
χ² (fσ₈ + H(z) + μ(z)),646.0342931050602,659.1624223984952,-13.128129293434995
Reduced χ² (fσ₈-only),0.9093241220958226,0.8455665253158935,0.0637575967799291
Reduced χ² (fσ₈ + H(z)),0.9093241220958226,0.8455665253158935,0.0637575967799291
Reduced χ² (fσ₈ + H(z) + μ(z)),13.745410491597026,14.024732391457345,-0.2793218998603191
AIC (fσ₈ + H(z)),37.82634427335379,31.59482838605627,6.231515887297519
BIC (fσ₈ + H(z)),42.49238845782203,33.15017644754568,9.342212010276349
AIC (fσ₈ + H(z) + μ(z)),652.0342931050602,661.1624223984952,-9.128129293434995
BIC (fσ₈ + H(z) + μ(z)),657.5847359101904,663.0125700002053,-5.427834090014926
