Dataset,Model,Chi2,AIC,BIC
fσ₈(z),Waveframe,0.207,6.207,6.445324625039507
fσ₈(z),ΛCDM,0.018,4.018,4.176883083359671
H(z),Waveframe,14.53,20.53,24.83196161345544
H(z),ΛCDM,12.92,16.92,19.787974408970292
μ(z),Waveframe,568.7,574.7,591.0169147771876
μ(z),ΛCDM,580.4,584.4,595.2779431847918
