# z,fσ8(z)
0.0,0.5201398863428232
0.020202020202020204,0.5242998672890918
0.04040404040404041,0.5376457848220745
0.06060606060606061,0.5508738178926156
0.08080808080808081,0.5639678559143371
0.10101010101010102,0.5769137654659284
0.1212121212121212,0.589699176251547
0.14141414141414144,0.6023132917672265
0.16161616161616163,0.6147467215431819
0.18181818181818185,0.6269913322677849
0.20202020202020204,0.6390434555530141
0.22222222222222224,0.6509085914669314
0.24242424242424243,0.6625713497575428
0.26262626262626265,0.6740027676482887
0.2828282828282829,0.6851873290666877
0.30303030303030304,0.6961126404437209
0.32323232323232326,0.7067678147443749
0.3434343434343435,0.7171433284003245
0.3636363636363637,0.7272308924113937
0.3838383838383839,0.737023336086149
0.4040404040404041,0.7465145020729358
0.42424242424242425,0.7556991514904748
0.4444444444444445,0.7645728781045491
0.4646464646464647,0.7731320306174257
0.48484848484848486,0.7813736422421316
0.5050505050505051,0.789295366825679
0.5252525252525253,0.7968954208666806
0.5454545454545455,0.804172530844
0.5656565656565657,0.8111258853359534
0.5858585858585859,0.8177550914651621
0.6060606060606061,0.8240601352530318
0.6262626262626263,0.8300413455115406
0.6464646464646465,0.8356993609381143
0.6666666666666667,0.841035094400247
0.686868686868687,0.8460300575757422
0.7070707070707072,0.8506436409589696
0.7272727272727274,0.854859050994353
0.7474747474747475,0.8586783288218847
0.7676767676767677,0.8620970663385592
0.7878787878787878,0.8651115075308352
0.8080808080808082,0.8677184979750563
0.8282828282828285,0.8699154382259456
0.8484848484848485,0.8717002407715904
0.8686868686868686,0.873071290262378
0.888888888888889,0.874027406747504
0.9090909090909092,0.8745678116763289
0.9292929292929294,0.8746920964431735
0.9494949494949496,0.8744001932734733
0.9696969696969696,0.8736923482667202
0.9898989898989901,0.8725690964274316
1.01010101010101,0.8710312385296458
1.0303030303030305,0.8690798196735917
1.0505050505050506,0.8667161094050002
1.0707070707070707,0.8639415113382372
1.090909090909091,0.8602105147743185
1.1111111111111112,0.8553062319922771
1.1313131313131315,0.8501598328247384
1.1515151515151516,0.8453540305234288
1.1717171717171715,0.8408343477482098
1.191919191919192,0.8365491221892253
1.212121212121212,0.8324493601296021
1.2323232323232325,0.8284885984266579
1.2525252525252524,0.8246227743713038
1.2727272727272727,0.8208101029237856
1.292929292929293,0.8170109608600182
1.3131313131313131,0.8131877773955971
1.3333333333333335,0.809304930884785
1.3535353535353536,0.8053286512200815
1.373737373737374,0.8012269275836144
1.393939393939394,0.7969694212257539
1.4141414141414144,0.7924402539774413
1.4343434343434345,0.7871896791794231
1.4545454545454544,0.7810815361217303
1.4747474747474747,0.7743179580784209
1.494949494949495,0.7668895050015795
1.5151515151515151,0.7587579972123827
1.5353535353535355,0.7498873917203839
1.5555555555555556,0.740243679801226
1.575757575757576,0.7297947899432954
1.595959595959596,0.7185104958464721
1.6161616161616164,0.7063623291712944
1.6363636363636365,0.6933234967497307
1.6565656565656568,0.6793688019798512
1.676767676767677,0.6644745701366275
1.696969696969697,0.6486100503547879
1.7171717171717171,0.6316519874176366
1.7373737373737375,0.6134381208193521
1.7575757575757576,0.5938502607887433
1.777777777777778,0.5727696559818493
1.7979797979797982,0.5500766147859656
1.8181818181818183,0.5256572211635766
1.8383838383838385,0.49940308833508207
1.8585858585858588,0.4712111214826552
1.878787878787879,0.4409760451986247
1.8989898989898992,0.4084263110558408
1.9191919191919196,0.37330392261467593
1.9393939393939397,0.33545137778977746
1.95959595959596,0.29458994327174876
1.97979797979798,0.25039008869886564
2.0,0.22681602154979583
