Time,phi(t),phidot(t),H(t)
0.1,4.0,0.0,6.179266498564948e-05
0.10990990990990991,3.9999999999990283,-1.960888417378566e-10,6.179266498564948e-05
0.11981981981981983,3.9999999999961138,-3.9217732324542017e-10,6.179266498564949e-05
0.12972972972972974,3.9999999999912554,-5.88265444523464e-10,6.179266498564948e-05
0.13963963963963966,3.999999999984454,-7.843532055727622e-10,6.179266498564948e-05
0.14954954954954958,3.9999999999757097,-9.804406063940885e-10,6.179266498564947e-05
0.15945945945945947,3.999999999965022,-1.1765276469882159e-09,6.179266498564948e-05
0.1693693693693694,3.9999999999523914,-1.3726143273559198e-09,6.179266498564947e-05
0.17927927927927928,3.9999999999378173,-1.5687006474979718e-09,6.179266498564947e-05
0.1891891891891892,3.9999999999213,-1.7647866074151475e-09,6.179266498564944e-05
0.19909909909909912,3.9999999999028395,-1.9608722071082206e-09,6.179266498564943e-05
0.20900900900900904,3.999999999882436,-2.1569574465779633e-09,6.17926649856494e-05
0.21891891891891893,3.999999999860089,-2.35304232582515e-09,6.179266498564937e-05
0.22882882882882885,3.999999999835799,-2.549126844850556e-09,6.179266498564936e-05
0.23873873873873877,3.9999999998095657,-2.7452110036549536e-09,6.179266498564932e-05
0.24864864864864866,3.999999999781389,-2.9412948022391152e-09,6.179266498564926e-05
0.2585585585585586,3.9999999997512696,-3.1373782406038176e-09,6.179266498564922e-05
0.2684684684684685,3.999999999719207,-3.333461318749833e-09,6.179266498564917e-05
0.2783783783783784,3.999999999685201,-3.5295440366779355e-09,6.179266498564911e-05
0.28828828828828834,3.999999999649252,-3.725626394388898e-09,6.179266498564905e-05
0.29819819819819826,3.9999999996113598,-3.921708391883495e-09,6.179266498564896e-05
0.3081081081081081,3.9999999995715245,-4.117790029162499e-09,6.17926649856489e-05
0.31801801801801804,3.999999999529746,-4.313871306226687e-09,6.179266498564882e-05
0.32792792792792796,3.9999999994860245,-4.5099522230768295e-09,6.179266498564872e-05
0.33783783783783783,3.9999999994403597,-4.706032779713701e-09,6.179266498564861e-05
0.34774774774774775,3.9999999993927515,-4.902112976138077e-09,6.179266498564849e-05
0.35765765765765767,3.9999999993432005,-5.0981928123507295e-09,6.179266498564837e-05
0.3675675675675676,3.9999999992917066,-5.294272288352433e-09,6.179266498564825e-05
0.3774774774774775,3.999999999238269,-5.490351404143961e-09,6.179266498564808e-05
0.3873873873873874,3.9999999991828887,-5.6864301597260875e-09,6.179266498564795e-05
0.39729729729729735,3.999999999125565,-5.8825085550995835e-09,6.179266498564776e-05
0.40720720720720727,3.9999999990662984,-6.0785865902652265e-09,6.17926649856476e-05
0.4171171171171172,3.9999999990050887,-6.274664265223791e-09,6.179266498564742e-05
0.4270270270270271,3.9999999989419357,-6.470741579976046e-09,6.17926649856472e-05
0.436936936936937,3.9999999988768398,-6.66681853452277e-09,6.1792664985647e-05
0.44684684684684695,3.9999999988098005,-6.862895128864734e-09,6.179266498564676e-05
0.45675675675675675,3.9999999987408184,-7.05897136300271e-09,6.179266498564652e-05
0.4666666666666667,3.999999998669893,-7.255047236937477e-09,6.179266498564625e-05
0.4765765765765766,3.9999999985970245,-7.451122750669806e-09,6.1792664985646e-05
0.4864864864864865,3.999999998522213,-7.64719790420047e-09,6.179266498564573e-05
0.49639639639639643,3.9999999984454586,-7.843272697530246e-09,6.179266498564543e-05
0.5063063063063064,3.9999999983667607,-8.039347130659903e-09,6.17926649856451e-05
0.5162162162162163,3.99999999828612,-8.23542120359022e-09,6.179266498564476e-05
0.5261261261261262,3.999999998203536,-8.431494916321964e-09,6.179266498564444e-05
0.5360360360360361,3.9999999981190095,-8.627568268855913e-09,6.179266498564409e-05
0.545945945945946,3.9999999980325396,-8.823641261192841e-09,6.17926649856437e-05
0.555855855855856,3.9999999979441263,-9.019713893333524e-09,6.17926649856433e-05
0.5657657657657659,3.99999999785377,-9.215786165278727e-09,6.179266498564288e-05
0.5756756756756757,3.999999997761471,-9.411858077029234e-09,6.179266498564246e-05
0.5855855855855856,3.999999997667229,-9.607929628585812e-09,6.179266498564203e-05
0.5954954954954955,3.999999997571044,-9.80400081994924e-09,6.179266498564156e-05
0.6054054054054054,3.9999999974729152,-1.0000071651120288e-08,6.179266498564106e-05
0.6153153153153154,3.999999997372844,-1.0196142122099728e-08,6.179266498564056e-05
0.6252252252252253,3.9999999972708298,-1.039221223288834e-08,6.179266498564003e-05
0.6351351351351352,3.9999999971668725,-1.0588281983486893e-08,6.179266498563949e-05
0.6450450450450451,3.999999997060972,-1.0784351373896162e-08,6.179266498563892e-05
0.654954954954955,3.9999999969531284,-1.0980420404116922e-08,6.179266498563833e-05
0.664864864864865,3.999999996843342,-1.1176489074149943e-08,6.179266498563773e-05
0.6747747747747748,3.999999996731612,-1.1372557383996002e-08,6.179266498563708e-05
0.6846846846846847,3.99999999661794,-1.156862533365587e-08,6.179266498563646e-05
0.6945945945945946,3.9999999965023245,-1.1764692923130327e-08,6.179266498563578e-05
0.7045045045045045,3.9999999963847657,-1.196076015242014e-08,6.179266498563506e-05
0.7144144144144144,3.9999999962652644,-1.2156827021526087e-08,6.179266498563435e-05
0.7243243243243244,3.9999999961438197,-1.2352893530448938e-08,6.179266498563361e-05
0.7342342342342343,3.999999996020432,-1.254895967918947e-08,6.179266498563285e-05
0.7441441441441442,3.9999999958951014,-1.2745025467748457e-08,6.179266498563204e-05
0.7540540540540541,3.999999995767828,-1.2941090896126668e-08,6.179266498563124e-05
0.763963963963964,3.9999999956386114,-1.3137155964324884e-08,6.179266498563038e-05
