Unnamed: 0,z,H_natural,H_obs
4999,-0.998732524391068,3.203906785716646e-05,0.0195750526258687
4998,-0.9987322807832812,3.206149827856298e-05,0.0195887570407791
4997,-0.99873203692515,3.2071466830302034e-05,0.0195948475714326
4996,-0.9987317932818918,3.2105726117211854e-05,0.019615779121226
4995,-0.9987315499540196,3.2074849661236495e-05,0.0195969143947829
4994,-0.998731305994652,3.2102624423394744e-05,0.0196138840654781
4993,-0.9987310627075052,3.208112986544442e-05,0.0196007514392443
4992,-0.9987308185276408,3.210996820897914e-05,0.0196183709310114
4991,-0.9987305751077168,3.211535167005437e-05,0.0196216600883092
4990,-0.998730330975511,3.210915651491483e-05,0.0196178750066576
4989,-0.9987300873323736,3.213462273276843e-05,0.019633434215711
4988,-0.998729843872351,3.209141166950816e-05,0.0196070333590721
4987,-0.9987295997782406,3.213121383397309e-05,0.0196313514655632
4986,-0.9987293567492465,3.210850582796858e-05,0.019617477453543
4985,-0.9987291122343084,3.2122734755301376e-05,0.0196261709649332
4984,-0.9987288681114947,3.213031541692735e-05,0.0196308025556814
4983,-0.9987286235543936,3.211548433241621e-05,0.0196217411416259
4982,-0.9987283791218576,3.213797399842726e-05,0.0196354817534835
4981,-0.9987281347173907,3.2117356735126774e-05,0.0196228851318868
4980,-0.9987278898966604,3.216120400341243e-05,0.0196496746935563
4979,-0.9987276457031556,3.2136316091736124e-05,0.0196344688148153
4978,-0.9987274005606596,3.216190324158945e-05,0.0196501019102336
4977,-0.998727156550292,3.2149787526915737e-05,0.0196426995178358
4976,-0.998726911694394,3.213407919262374e-05,0.0196331021265571
4975,-0.998726667338408,3.2171979585045066e-05,0.0196562582988744
4974,-0.9987264231233864,3.2136385322208784e-05,0.0196345111128669
4973,-0.9987261776781874,3.217356179091088e-05,0.0196572249862708
4972,-0.9987259328670288,3.214894262675193e-05,0.0196421833054028
4971,-0.998725687232938,3.2165226975566165e-05,0.0196521326268511
4970,-0.998725442277714,3.216007093611768e-05,0.0196489824183621
4969,-0.998725196628585,3.216688035776986e-05,0.0196531428011731
4968,-0.9987249513832196,3.219523504902194e-05,0.0196704667937413
4967,-0.9987247059256814,3.217326172397708e-05,0.0196570416530338
4966,-0.9987244603441636,3.2208512820185894e-05,0.0196785791729917
4965,-0.9987242155584783,3.216414875262466e-05,0.0196514738601568
4964,-0.9987239696583412,3.218951894537677e-05,0.0196669744003243
4963,-0.9987237249239616,3.219282835575225e-05,0.0196689963655872
4962,-0.9987234791485186,3.218220006053792e-05,0.0196625027485109
4961,-0.9987232332007722,3.220969996405769e-05,0.0196793044875942
4960,-0.9987229872753196,3.218149190309503e-05,0.0196620700823899
4959,-0.9987227409957604,3.2210599543280526e-05,0.0196798541075365
4958,-0.998722495201804,3.21853562365005e-05,0.019664431091459
4957,-0.998722248590543,3.222325478926038e-05,0.0196875861397902
4956,-0.9987220027839628,3.221555403154951e-05,0.0196828811733997
4955,-0.9987217560836698,3.222131645494428e-05,0.0196864018670013
4954,-0.9987215102065686,3.223550506895392e-05,0.0196950707479801
4953,-0.99872126406588,3.2198906502271494e-05,0.0196727099579586
4952,-0.9987210177559795,3.224210339934169e-05,0.0196991021594169
4951,-0.9987207722234082,3.220946256965792e-05,0.0196791594456757
4950,-0.9987205251369043,3.223578576518213e-05,0.0196952422462105
4949,-0.9987202786432298,3.223062225011455e-05,0.019692087470309
4948,-0.9987200314997292,3.2226712791118575e-05,0.019689698890656
4947,-0.998719784743061,3.2240974809122186e-05,0.0196984126196014
4946,-0.9987195377085134,3.2227755226463413e-05,0.0196903357920423
4945,-0.9987192905814232,3.2269816255985816e-05,0.0197160340074232
4944,-0.9987190437907244,3.2242380682031844e-05,0.0196992715720626
4943,-0.9987187962962856,3.2274704135373634e-05,0.0197190203769603
4942,-0.998718549908568,3.224800978024459e-05,0.0197027108073813
4941,-0.9987183024555006,3.2247385159963376e-05,0.0197023291803336
4940,-0.998718055855479,3.227593309891253e-05,0.0197197712423119
4939,-0.9987178088931375,3.22461772345235e-05,0.0197015911687236
4938,-0.9987175610937656,3.22831927644741e-05,0.0197242067126585
4937,-0.9987173137501884,3.225300204552165e-05,0.0197057609540321
4936,-0.998717065662054,3.2277404261897927e-05,0.0197206700853428
4935,-0.9987168182754096,3.226232956850368e-05,0.0197114598324781
4934,-0.9987165700567232,3.2281894621837106e-05,0.0197234135806439
4933,-0.9987163224652684,3.229815408874996e-05,0.0197333476998856
4932,-0.9987160743438002,3.228403185169619e-05,0.0197247193735325
4931,-0.9987158265153806,3.2315678077785834e-05,0.0197440544098662
4930,-0.998715579101066,3.2269452739602385e-05,0.0197158119081922
4929,-0.9987153308445068,3.2304845910780483e-05,0.0197374362323297
4928,-0.9987150837126502,3.22931122450426e-05,0.0197302672620794
4927,-0.998714835225052,3.229620473044095e-05,0.0197321566917185
4926,-0.9987145869204292,3.2313608520993686e-05,0.019742789963494
4925,-0.9987143383487268,3.229154517635556e-05,0.0197293098231129
4924,-0.9987140897223784,3.2318591838058e-05,0.0197458346430153
4923,-0.9987138413032078,3.229467084347642e-05,0.0197312195259374
4922,-0.9987135923011636,3.233728541960355e-05,0.019757255944164
4921,-0.9987133439999905,3.231866378924639e-05,0.0197458786033548
4920,-0.998713094765043,3.233639367382389e-05,0.0197567111102555
4919,-0.9987128465713886,3.2336340482702115e-05,0.0197566786118378
4918,-0.9987125977247516,3.2310137207519564e-05,0.0197406690795707
4917,-0.9987123491664772,3.2352527672074083e-05,0.0197665685713471
4916,-0.9987121009822136,3.231551408778971e-05,0.0197439542161646
4915,-0.9987118513753048,3.235013983814231e-05,0.019765109665767
4914,-0.9987116024204464,3.233310853396685e-05,0.0197547039736599
4913,-0.9987113526898616,3.2340898304260925e-05,0.0197594633244665
4912,-0.9987111035399266,3.2344766573180266e-05,0.0197618267380341
4911,-0.9987108538451092,3.2342033325110246e-05,0.0197601567932327
4910,-0.9987106043705772,3.2378014057991866e-05,0.0197821401025729
4909,-0.99871035487665,3.235270297226892e-05,0.0197666756752914
4908,-0.9987101050748984,3.2387921074136335e-05,0.0197881930365489
4907,-0.9987098561832256,3.2349385874464006e-05,0.0197646490132054
4906,-0.9987096061730416,3.2364209570804325e-05,0.0197737059132771
4905,-0.9987093572406848,3.237962318068697e-05,0.0197831232354648
4904,-0.998709107483451,3.2359371089700404e-05,0.0197707497248305
4903,-0.9987088573029916,3.239262382532803e-05,0.0197910662974838
4902,-0.9987086073094243,3.236206310326509e-05,0.0197723944764017
4901,-0.9987083568019032,3.2390468306146154e-05,0.0197897493302858
4900,-0.998708106879048,3.2368163507799665e-05,0.0197761216678523
4899,-0.9987078561087728,3.23993357681132e-05,0.0197951671231953
4898,-0.9987076060860118,3.240206753729387e-05,0.0197968361644331
4897,-0.998707355298152,3.239870585699863e-05,0.0197947822635835
4896,-0.9987071051699252,3.242209532381864e-05,0.0198090726307669
4895,-0.998706854999082,3.237999458462042e-05,0.0197833501537877
4894,-0.9987066044435018,3.242108291448785e-05,0.0198084540745088
4893,-0.9987063547830513,3.239608427677404e-05,0.0197931805449852
4892,-0.9987061035985348,3.241309859960981e-05,0.0198035758619273
4891,-0.9987058528678352,3.2418091602287564e-05,0.0198066264591111
4890,-0.9987056016183288,3.240546212892179e-05,0.0197989101732668
4889,-0.9987053506000134,3.2426669784289044e-05,0.0198118675093459
4888,-0.9987050994771348,3.240764564112769e-05,0.0198002442434879
4887,-0.998704848084622,3.245153620815972e-05,0.0198270602595862
4886,-0.9987045971680742,3.2426014689218786e-05,0.01981146726298
4885,-0.9987043454475958,3.245367639341935e-05,0.019828367858149
4884,-0.998704094832977,3.243810044983626e-05,0.019818851354214
4883,-0.9987038432804592,3.2425789069195626e-05,0.0198113294149051
4882,-0.9987035924145166,3.246228382630796e-05,0.0198336267799291
4881,-0.998703341423652,3.242777914051159e-05,0.0198125452976802
4880,-0.998703089357296,3.246524907241367e-05,0.0198354384696083
4879,-0.9987028378356532,3.2439064260112225e-05,0.0198194402176903
4878,-0.9987025855312504,3.2457542120390406e-05,0.0198307297186511
4877,-0.9987023339024524,3.245028551033092e-05,0.0198262961151383
4876,-0.9987020815344406,3.246025043717813e-05,0.0198323844310755
4875,-0.9987018296534472,3.2486103932142305e-05,0.0198481802565577
4874,-0.9987015774120678,3.246608299771075e-05,0.0198359479766779
4873,-0.9987013252834088,3.250097009245537e-05,0.0198572631010328
4872,-0.9987010737424372,3.2455543197341565e-05,0.0198295084276932
4871,-0.9987008212337374,3.248396860804757e-05,0.0198468756280425
4870,-0.9987005698582188,3.248388723364921e-05,0.0198468259103623
4869,-0.9987003172792608,3.247652429577681e-05,0.0198423273432699
4868,-0.9987000646722038,3.250195460752205e-05,0.0198578646146076
4867,-0.9986998119508436,3.24749920350445e-05,0.0198413911710752
4866,-0.9986995590159048,3.2504072286565974e-05,0.0198591584624472
4865,-0.9986993064354736,3.2478961237680764e-05,0.0198438162525674
4864,-0.9986990531470488,3.2518629979999505e-05,0.0198680528415329
4863,-0.9986988005929192,3.250816655843983e-05,0.0198616599580511
4862,-0.9986985471550006,3.251730451685679e-05,0.0198672430173867
4861,-0.9986982946474208,3.252807098393531e-05,0.0198738210539449
4860,-0.9986980416697132,3.2493941721968576e-05,0.0198529689460728
4859,-0.9986977887911668,3.253761032136499e-05,0.0198796493456117
4858,-0.9986975364500535,3.2503445658117686e-05,0.0198587756084608
4857,-0.998697282602788,3.2532512790150355e-05,0.01987653488416
4856,-0.9986970293588338,3.252417151065239e-05,0.0198714385753077
4855,-0.998696775414104,3.252346203405851e-05,0.0198710051032191
4854,-0.9986965219402524,3.253526841917161e-05,0.0198782185031513
4853,-0.9986962680631716,3.252487437259803e-05,0.0198718680060151
4852,-0.9986960142513436,3.256583046971325e-05,0.0198968911359
4851,-0.9986957605836488,3.25390569145062e-05,0.019880533177095
4850,-0.9986955064386778,3.257250529774736e-05,0.019900969285446
4849,-0.9986952532732188,3.254218137028489e-05,0.0198824421398203
4848,-0.998694999035656,3.25462474575524e-05,0.0198849264153491
4847,-0.9986947457749056,3.257151947295996e-05,0.0199003669716653
4846,-0.9986944918839492,3.254443081220475e-05,0.0198838164914137
4845,-0.9986942373549634,3.258085657627566e-05,0.0199060717034506
4844,-0.9986939831393724,3.2550173234609375e-05,0.0198873249649209
4843,-0.9986937282896908,3.2576319014216405e-05,0.019903299368859
4842,-0.9986934740761751,3.255890044999672e-05,0.0198926570707501
4841,-0.99869321903862,3.258244166537649e-05,0.01990704015243
4840,-0.998692964676992,3.2594809703272225e-05,0.0199145967078756
4839,-0.9986927096651186,3.2583983164780595e-05,0.0199079819692173
4838,-0.9986924551575505,3.261355065981686e-05,0.0199260469539394
4837,-0.9986922007935444,3.256855939809423e-05,0.0198985584414817
4836,-0.9986919458637312,3.260620283669758e-05,0.0199215576215753
4835,-0.998691691905192,3.259005292854534e-05,0.0199116904399397
4834,-0.9986914364944244,3.259817283315003e-05,0.0199166514943831
4833,-0.9986911813953806,3.261169932812337e-05,0.0199249158375321
4832,-0.9986909258901724,3.2592729883513155e-05,0.0199133259910926
4831,-0.9986906704896996,3.26182115592953e-05,0.0199288946445458
4830,-0.9986904151170564,3.259586201988284e-05,0.019915239646463
4829,-0.9986901593536592,3.263954342301205e-05,0.0199419278687558
4828,-0.9986899041501444,3.261811649044032e-05,0.0199288365599021
4827,-0.998689648092347,3.2639826791482104e-05,0.0199421009996577
4826,-0.998689393092716,3.263434912578831e-05,0.0199387542857427
4825,-0.9986891372794036,3.2613293439583546e-05,0.0199258897989427
4824,-0.9986888820183064,3.26540598709365e-05,0.0199507970478883
4823,-0.998688626806,3.261775620841121e-05,0.019928616436779
4822,-0.998688370355164,3.265438784905048e-05,0.0199509974341439
4821,-0.9986881144841416,3.2633528347624404e-05,0.0199382528112358
4820,-0.9986878578405236,3.264600145386458e-05,0.0199458735607579
4819,-0.9986876018244752,3.264532029145537e-05,0.0199454573879133
4818,-0.9986873451562353,3.2647836941919e-05,0.0199469949971062
4817,-0.9986870888838214,3.2680418462273695e-05,0.0199669014743613
4816,-0.9986868323681506,3.26568472158887e-05,0.0199525000445038
4815,-0.998686575804399,3.269241593795962e-05,0.0199742316257557
4814,-0.9986863199170608,3.26508128906423e-05,0.0199488132258115
4813,-0.998686063035804,3.267212394258871e-05,0.0199618337345611
4812,-0.998685807255156,3.268077478740752e-05,0.0199671191799224
4811,-0.9986855503935762,3.266680710111643e-05,0.0199585852801402
4810,-0.9986852933627728,3.269707111394109e-05,0.0199770758194515
4809,-0.998685036305804,3.2668150310308714e-05,0.0199594059466697
4808,-0.9986847789435256,3.269725588635832e-05,0.0199771887106819
4807,-0.9986845220021584,3.2672994413170665e-05,0.0199623655698669
4806,-0.9986842643269426,3.270912637779761e-05,0.0199844412779431
4805,-0.9986840073941496,3.270542286222815e-05,0.0199821785244668
4804,-0.9986837496004632,3.270800035854307e-05,0.0199837533089215
4803,-0.9986834926208944,3.272563120557508e-05,0.01999452530641
4802,-0.9986832352938868,3.268789960598378e-05,0.0199714722622032
4801,-0.9986829779604376,3.27306540957261e-05,0.0199975941640771
4800,-0.9986827212246446,3.2700613628075146e-05,0.0199792402051606
4799,-0.9986824629937554,3.272538272513985e-05,0.0199943734912068
4798,-0.9986822053068588,3.272303020219592e-05,0.019992936159739
4797,-0.9986819469684493,3.271750046492354e-05,0.0199895576314186
4796,-0.9986816890402962,3.2733244095163136e-05,0.0199991765876204
4795,-0.9986814307772628,3.271900026875866e-05,0.0199904739732776
4794,-0.998681172545034,3.2762268013695305e-05,0.0200169094609739
4793,-0.9986809145353164,3.273479345581248e-05,0.0200001232074279
4792,-0.9986806559042228,3.2766504538733984e-05,0.0200194978696302
4791,-0.9986803982457214,3.274254048692295e-05,0.0200048564456843
4790,-0.9986801395855912,3.2740815922421784e-05,0.0200038027807956
4789,-0.9986798818356656,3.277008341290261e-05,0.0200216844703923
4788,-0.998679623532294,3.274136336265728e-05,0.0200041372528054
4787,-0.9986793645366764,3.2778942333816566e-05,0.0200270970449364
4786,-0.9986791058668314,3.274962875627586e-05,0.0200091871973225
4785,-0.9986788465507545,3.27740250226593e-05,0.0200240926933394
4784,-0.9986785878610644,3.2758885529420964e-05,0.0200148428494241
4783,-0.998678328391796,3.277888151781242e-05,0.0200270598879102
4782,-0.9986780696090606,3.279589402142373e-05,0.0200374540933526
4781,-0.9986778101810844,3.278139855002739e-05,0.0200285977303434
4780,-0.9986775511308345,3.281286376245878e-05,0.0200478221719524
4779,-0.9986772922677396,3.276858972793129e-05,0.0200207718670029
4778,-0.9986770328267364,3.280428410813421e-05,0.0200425802221659
4777,-0.9986767743304078,3.279155624815802e-05,0.020034803824614
4776,-0.9986765144403468,3.279819738297728e-05,0.0200388613884658
4775,-0.998676254836944,3.281421434374651e-05,0.020048647342644
4774,-0.9986759948230924,3.279459153879624e-05,0.0200366583097146
4773,-0.9986757349215234,3.2820282060837456e-05,0.020052354562901
4772,-0.998675475031476,3.279726043554648e-05,0.0200382889375023
4771,-0.9986752148276998,3.284119706975881e-05,0.0200651330994718
4770,-0.998674955193363,3.282051717617894e-05,0.0200524982123731
4769,-0.9986746946192314,3.284014994560735e-05,0.0200644933333443
4768,-0.9986744350117988,3.283757938601108e-05,0.0200629227870475
4767,-0.9986741746410718,3.281626694592596e-05,0.0200499014301806
4766,-0.9986739148241636,3.285622194537345e-05,0.0200743129149447
4765,-0.9986736549975486,3.28218084456829e-05,0.0200532871450788
4764,-0.9986733940319704,3.2859212320870194e-05,0.0200761399580404
4763,-0.9986731335922224,3.283896368822504e-05,0.0200637685603643
4762,-0.9986728724016029,3.285219401152657e-05,0.020071851950182
4761,-0.998672611833574,3.2850050004485665e-05,0.0200705420166083
4760,-0.9986723506126588,3.285313783410078e-05,0.0200724286016827
4759,-0.9986720899217958,3.288646422728583e-05,0.0200927901772234
4758,-0.9986718289033628,3.286142040793021e-05,0.02007748904287
4757,-0.998671567741252,3.2896727767925444e-05,0.0200990609385653
4756,-0.9986713071609156,3.285709515614742e-05,0.0200748464244379
4755,-0.9986710456979212,3.287951781766426e-05,0.0200885460982599
4754,-0.9986707852695406,3.2885190791674696e-05,0.0200920121405709
4753,-0.9986705237285968,3.2876159773406204e-05,0.0200864944189362
4752,-0.9986702621548664,3.2905188730979484e-05,0.0201042303710152
4751,-0.9986700004257816,3.2878510545320504e-05,0.0200879306805697
