z,H_km_s_Mpc
-0.9989623033506803,0.0009331541743104946
-0.9989622903584053,0.0009331709101180339
-0.9989622555127101,0.000933221182033991
-0.9989622209308291,0.0009332781136379644
-0.9989621862548854,0.0009333401830311645
-0.9989621510026666,0.0009334052493105693
-0.9989621145684658,0.0009334707596549395
-0.9989620761230682,0.0009335340621196837
-0.9989620375546794,0.000933588813211868
-0.9989619937429569,0.0009336396556536895
-0.9989619475600436,0.000933683113648523
-0.9989619069242717,0.0009337178585296037
-0.998961869037194,0.0009337523569733344
-0.9989618327601797,0.0009337910666594257
-0.9989617974559175,0.0009338362572892901
-0.9989617626832895,0.000933888533744269
-0.9989617280765963,0.0009339471532416047
-0.9989616932547791,0.0009340103735869348
-0.9989616577110306,0.0009340759029149853
-0.9989616207370988,0.0009341412180610741
-0.9989615812945332,0.0009342038447546257
-0.9989615416352539,0.0009342571286858011
-0.9989614947483726,0.0009343078868558992
-0.9989614507930078,0.0009343472907370415
-0.9989614111583482,0.0009343813478439491
-0.9989613738266959,0.0009344168520110819
-0.998961337873507,0.0009344574867000475
-0.99896130274193,0.0009345049635739288
-0.9989612680235426,0.0009345594311871198
-0.9989612333601291,0.0009346197869572481
-0.9989611983325168,0.0009346840865319804
-0.9989611623973086,0.0009347498973109236
-0.9989611246604297,0.0009348148445807321
-0.9989610836697224,0.0009348768502305128
-0.9989610422289514,0.0009349287219514136
-0.9989609929457405,0.0009349780983724609
-0.9989609509928798,0.0009350143690346514
-0.9989609123550725,0.0009350484359076175
-0.9989608755974034,0.000935085645071061
-0.9989608399782454,0.0009351288549888849
-0.9989608050134255,0.0009351791408189021
-0.9989607703225061,0.0009352361323613511
-0.9989607355471958,0.0009352983280150448
-0.9989607002088352,0.000935363592910855
-0.9989606637071079,0.0009354293682871888
-0.9989606252272984,0.0009354929806837652
-0.9989605866303356,0.0009355480957721102
-0.9989605429485515,0.0009355991732541795
-0.9989604963655192,0.0009356432757349266
-0.9989604554914501,0.000935678260275391
-0.9989604174236298,0.0009357128209729463
-0.9989603809954553,0.0009357515067195328
-0.998960345558815,0.00093579665249224
-0.9989603106677021,0.0009358489122860163
-0.9989602759544254,0.0009359075741188861
