z,H(z),H(z)_phys
0.0,4.241103405421977e+26,3.346654697218482e+34
0.0186101701559753,4.241103405421977e+26,3.346654697218482e+34
0.0375666787451849,4.241103405421977e+26,3.346654697218482e+34
0.056875971184805,4.241103405421977e+26,3.346654697218482e+34
0.0765446128423159,4.241103405421977e+26,3.346654697218482e+34
0.09657929126781,4.241103405421977e+26,3.346654697218482e+34
0.1169868184678226,4.241103405421977e+26,3.346654697218482e+34
0.1377741332214903,4.241103405421977e+26,3.346654697218482e+34
0.1589483034398118,4.241103405421977e+26,3.346654697218482e+34
0.1805165285688055,4.241103405421977e+26,3.346654697218482e+34
0.2024861420374124,4.241103405421977e+26,3.346654697218482e+34
0.2248646137509307,4.241103405421977e+26,3.346654697218482e+34
0.2476595526308711,4.241103405421977e+26,3.346654697218482e+34
0.2708787092020595,4.241103405421977e+26,3.346654697218482e+34
0.294529978227916,4.241103405421977e+26,3.346654697218482e+34
0.3186214013947483,4.241103405421977e+26,3.346654697218482e+34
0.3431611700460153,4.241103405421977e+26,3.346654697218482e+34
0.3681576279674732,4.241103405421977e+26,3.346654697218482e+34
0.3936192742241433,4.241103405421977e+26,3.346654697218482e+34
0.4195547660501018,4.241103405421977e+26,3.346654697218482e+34
0.4459729217920196,4.241103405421977e+26,3.346654697218482e+34
0.4728827239075019,4.241103405421977e+26,3.346654697218482e+34
0.5002933220192198,4.241103405421977e+26,3.346654697218482e+34
0.5282140360258709,4.241103405421977e+26,3.346654697218482e+34
0.5566543592710622,4.241103405421977e+26,3.346654697218482e+34
0.5856239617711372,4.241103405421977e+26,3.346654697218482e+34
0.6151326935030896,4.241103405421977e+26,3.346654697218482e+34
0.6451905877536641,4.241103405421977e+26,3.346654697218482e+34
0.6758078645307688,4.241103405421977e+26,3.346654697218482e+34
0.7069949340384079,4.241103405421977e+26,3.346654697218482e+34
0.7387624002162505,4.241103405421977e+26,3.346654697218482e+34
0.7711210643450868,4.241103405421977e+26,3.346654697218482e+34
0.8040819287193848,4.241103405421977e+26,3.346654697218482e+34
0.8376562003881725,4.241103405421977e+26,3.346654697218482e+34
0.8718552949655793,4.241103405421977e+26,3.346654697218482e+34
0.906690840512252,4.241103405421977e+26,3.346654697218482e+34
0.9421746814890244,4.241103405421977e+26,3.346654697218482e+34
0.9783188827841662,4.241103405421977e+26,3.346654697218482e+34
1.0151357338155584,4.241103405421977e+26,3.346654697218482e+34
1.052637752709252,4.241103405421977e+26,3.346654697218482e+34
1.09083769055575,4.241103405421977e+26,3.346654697218482e+34
1.1297485357455188,4.241103405421977e+26,3.346654697218482e+34
1.1693835183851866,4.241103405421977e+26,3.346654697218482e+34
1.2097561147959035,4.241103405421977e+26,3.346654697218482e+34
1.2508800520954615,4.241103405421977e+26,3.346654697218482e+34
1.2927693128656488,4.241103405421977e+26,3.346654697218482e+34
1.335438139906477,4.241103405421977e+26,3.346654697218482e+34
1.3789010410788958,4.241103405421977e+26,3.346654697218482e+34
1.423172794237601,4.241103405421977e+26,3.346654697218482e+34
1.4682684522556926,4.241103405421977e+26,3.346654697218482e+34
1.5142033481427966,4.241103405421977e+26,3.346654697218482e+34
1.560993100258457,4.241103405421977e+26,3.346654697218482e+34
1.6086536176225508,4.241103405421977e+26,3.346654697218482e+34
1.6572011053245066,4.241103405421977e+26,3.346654697218482e+34
1.706652070033241,4.241103405421977e+26,3.346654697218482e+34
1.7570233256095826,4.241103405421977e+26,3.346654697218482e+34
1.8083319988231696,4.241103405421977e+26,3.346654697218482e+34
1.860595535175745,4.241103405421977e+26,3.346654697218482e+34
