Unnamed: 0,z,a,H_natural,H_obs_km_s_Mpc
686,1.6912007900259702,0.3715813415729377,1.3966767358789824,110211761.22821052
685,1.7148818516312136,0.3683401542498649,1.41515708781047,111670045.79912418
684,1.738771293332375,0.3651272387857035,1.4338820135618326,113147629.6901642
683,1.7628709487577323,0.3619423485739098,1.4528547508337522,114644768.3882914
682,1.787182667670478,0.35878523915901,1.472078580210505,116161720.76441094
681,1.8117083161106828,0.355655668217839,1.4915568257284286,117698749.1182303
680,1.836449776538521,0.3525533955409414,1.5112928554519387,119256119.22371247
679,1.8614089479787688,0.3494781830141323,1.5312900820572033,120834100.37513392
678,1.88658774616656,0.3464297946002223,1.5515519634235564,122432965.43375283
677,1.911988103694418,0.3434079963209009,1.5720820032327585,124052990.87509696
676,1.9376119701606047,0.3404125562387765,1.5928837515762306,125694456.83688036
675,1.9634613123187616,0.3374432444395738,1.6139608055703392,127357647.16755548
674,1.9895381142288489,0.3344998330144889,1.635316809979841,129042849.47550926
673,2.015844377409457,0.3315820960426935,1.656955457849634,130750355.17891462
672,2.0423821209914115,0.3286898095739969,1.6788804911448645,132480459.55624126
671,2.069153381872765,0.3258227516116547,1.7010957013995611,134233461.7974394
670,2.096160214875135,0.3229807020953303,1.72360493037387,136009665.05580208
669,2.1234046929014125,0.3201634428842052,1.7464120707200088,137809376.5005159
668,2.150888907094884,0.3173707577402336,1.7695210666570895,139632907.36991096
667,2.178614966999717,0.3146024323115474,1.7929359146548765,141480573.0254163
666,2.2065850007228947,0.3118582541160017,1.816660664126648,143352693.00623378
665,2.234801155097553,0.3091380125248664,1.840699418131248,145249591.0847368
664,2.263265595847751,0.3064414987466608,1.8650563340844573,147171595.32260454
663,2.291980507754713,0.3037685058111256,1.889735624479832,149119038.12770352
662,2.32094809482452,0.3011188285533382,1.914741557619104,151092256.31172347
661,2.3501705804572617,0.2984922635979661,1.940078458352276,153091591.14857808
660,2.379650207617715,0.2958886093436548,1.965750708827573,155117388.4335838
659,2.4093892390074934,0.2933076659475554,1.991762749251337,157169998.543423
658,2.439389957238708,0.2907492353099861,2.018119078658009,159249776.49690348
657,2.469654665009193,0.2882131210592252,2.044824255690377,161357082.01652765
656,2.500185685279224,0.2856991285364411,2.071882899390142,163492279.5908761
655,2.5309853614498325,0.2832070647807492,2.099299689999029,165655738.53782338
654,2.562056057542676,0.280736738514402,2.127079369770528,167847833.06859234
653,2.5934001583814634,0.2782879601281086,2.1552267437923978,170068942.3526581
652,2.625020069775036,0.2758605416664793,2.1837466808201498,172319450.58351803
651,2.6569182187019917,0.2734542968136011,2.2126441141215496,174599747.04533148
650,2.689097053496992,0.2710690408787358,2.241924042332395,176910226.18044928
649,2.721559044038675,0.2687045907821442,2.2715915303236303,179251287.65783766
648,2.7543066819392203,0.2663607650410349,2.3016517100799883,181623336.44241187
647,2.7873424807356098,0.2640373837556332,2.3321097815903373,184026782.86529356
646,2.820668976082544,0.2617342685953737,2.362971013749832,186462042.69499925
645,2.854288725947057,0.2594512427852132,2.3942407452740597,188929537.209576
644,2.888204310804874,0.2571881310920608,2.4259243856253607,191429693.2696972
643,2.92241833383846,0.2549447598113291,2.4580274159514395,193962943.3927281
642,2.956933421136821,0.2527209567536017,2.490555390036448,196529725.82777613
641,2.9917522218970927,0.2505165512314156,2.523513935264748,199130484.6317413
640,3.026877408627846,0.2483313740461617,2.5569087535974377,201765669.7463738
639,3.062311677354246,0.2461652574750967,2.5907456225619083,204435737.0763602
638,3.09805774782497,0.24401803525847,2.625030396254527,207141148.56844476
637,3.134118363720952,0.2418895425867634,2.6597690063566515,209882372.29160336
636,3.170496292865997,0.2397796160880393,2.6949674631641862,212659882.51828596
635,3.2071943274392,0.237688093815403,2.7306318566307795,215474159.8067348
634,3.2442152841892744,0.2356148152345714,2.7667683574249464,218325691.08440253
633,3.2815620046507537,0.2335596212115512,2.803383218001214,221214969.73247585
632,3.3192373553620733,0.2315223540004256,2.8404827736855105,224142495.67152363
631,3.3572442280856096,0.2295028572312454,2.878073443775023,227108775.44828707
630,3.395585540029637,0.2275009758980273,2.916161732652656,230114322.3236211
629,3.434264234072216,0.2255165563468571,2.9547542309163064,233159656.36160573
628,3.4732832789870995,0.2235494462640947,2.9938576165231985,236245304.5198456
627,3.5126456696715893,0.2215994946646843,3.033478655949406,239371800.74096763
626,3.5523544273763976,0.2196665518805656,3.073624205364798,242539686.04533625
625,3.5924125999375667,0.2177504695491852,3.11430121182366,245749508.62500495
624,3.632823262010377,0.2158511006021105,3.1555167144710885,249001823.9389136
623,3.673589515305367,0.2139682992537399,3.197277845765507,252297194.80935612
622,3.714714488826392,0.2121019209901138,3.2395918327173967,255636191.51972976
621,3.7562013391107794,0.210251822557823,3.28246599814452,259019391.91358408
620,3.798053250471636,0.2084178619530124,3.325907761943882,262447381.49499172
619,3.840273435242228,0.2065998984104822,3.3699246423805667,265920753.5302505
618,3.882865134022567,0.2047977923928829,3.41452425739377,269440109.1509424
